0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:22:30 -0500] "GET /reverselogic/VentasEmple?enviar=ventaEmple HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:22:51 -0500] "GET /reverselogic/VentasEmple?enviar=ventaEmple HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:24:14 -0500] "GET /reverselogic/PrendasEmple?enviar=prendasEmple HTTP/1.1" 200 2877
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:24:14 -0500] "GET /reverselogic/css/usuario.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:24:14 -0500] "GET /reverselogic/img/registrarUsu.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:24:14 -0500] "GET /reverselogic/js/menu.js HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:24:14 -0500] "GET /reverselogic/img/consultarUsu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:24:15 -0500] "GET /reverselogic/img/fondoMenu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:24:20 -0500] "GET /reverselogic/Prenda?enviar=RegistrarPrenda HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:26:07 -0500] "GET /reverselogic/js/menu.js HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:28:05 -0500] "GET /reverselogic/PrendasEmple?enviar=prendasEmple HTTP/1.1" 404 716
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:28:05 -0500] "GET /favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:28:09 -0500] "GET /reverselogic/js/menu.js HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:28:16 -0500] "POST /reverselogic/Usuario HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:28:24 -0500] "POST /reverselogic/Usuario HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:28:33 -0500] "POST /reverselogic/Usuario HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:28:36 -0500] "POST /reverselogic/Usuario HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:28:37 -0500] "POST /reverselogic/Usuario HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:28:41 -0500] "POST /reverselogic/Usuario HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:28:45 -0500] "POST /reverselogic/Usuario HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:28:51 -0500] "POST /reverselogic/Usuario HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:36:49 -0500] "POST /reverselogic/Usuario HTTP/1.1" 200 5098
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:36:50 -0500] "GET /reverselogic/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:36:50 -0500] "GET /reverselogic/css/menuEmp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:36:50 -0500] "GET /reverselogic/js/menu.js HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:36:50 -0500] "GET /reverselogic/img/logo-removebg-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:36:50 -0500] "GET /reverselogic/img/usuario-de-perfil.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:36:50 -0500] "GET /reverselogic/img/imgVenta.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:36:50 -0500] "GET /reverselogic/img/devolucion.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:36:50 -0500] "GET /reverselogic/img/fondoMenu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:36:50 -0500] "GET /reverselogic/img/whatsapp.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:36:50 -0500] "GET /reverselogic/img/instagram%20(1).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:36:50 -0500] "GET /reverselogic/img/Producto.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:36:50 -0500] "GET /reverselogic/img/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:36:50 -0500] "GET /reverselogic/img/prenda.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:36:50 -0500] "GET /reverselogic/img/cliente.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:36:50 -0500] "GET /favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:36:54 -0500] "GET /reverselogic/VentaEmple?enviar=ventaEmple HTTP/1.1" 200 2821
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:36:55 -0500] "GET /reverselogic/js/menu.js HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:36:55 -0500] "GET /reverselogic/css/usuario.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:36:55 -0500] "GET /reverselogic/img/registrarUsu.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:36:55 -0500] "GET /reverselogic/img/consultarUsu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:37:04 -0500] "GET /reverselogic/js/menu.js HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:37:12 -0500] "GET /reverselogic/ProductoEmple?enviar=productoEmple HTTP/1.1" 200 2920
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:37:12 -0500] "GET /reverselogic/js/menu.js HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:37:58 -0500] "GET /reverselogic/js/menu.js HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:39:16 -0500] "GET /reverselogic/DevolucionEmple?enviar=DevolucionEmple HTTP/1.1" 404 719
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:39:23 -0500] "GET /reverselogic/PrendasEmple?enviar=prendasEmple HTTP/1.1" 200 2888
